bResult,blueTopChamp,blueJungleChamp,blueMiddleChamp,blueADCChamp,blueSupportChamp,redTopChamp,redJungleChamp,redMiddleChamp,redADCChamp,redSupportChamp
0,Azir,AurelionSol,Thresh,Sejuani,Leblanc,KogMaw,Rakan,Kayn,Gnar,Tristana
1,Orianna,Udyr,Draven,Thresh,Tryndamere,Ekko,Illaoi,Ashe,Rakan,LeeSin
1,Singed,Khazix,Nautilus,Jhin,Fizz,Syndra,Warwick,Xayah,Thresh,Pantheon
0,KogMaw,Lulu,Riven,Shaco,Vladimir,Teemo,Orianna,JarvanIV,Jhin,Janna
0,MonkeyKing,Karma,Orianna,Singed,Draven,Chogath,Kassadin,LeeSin,Thresh,Jinx
1,TwistedFate,Morgana,Pantheon,MissFortune,Chogath,KogMaw,Thresh,Gragas,Gnar,Heimerdinger
0,Fiddlesticks,Sona,Shyvana,MissFortune,Yasuo,Garen,Varus,Fizz,Rammus,Ornn
1,Darius,Lux,Fiddlesticks,Lucian,Thresh,JarvanIV,Pantheon,Vayne,Viktor,Sona
0,JarvanIV,Heimerdinger,Teemo,MissFortune,Sona,Olaf,Annie,Alistar,Tristana,Ekko
1,Brand,Renekton,Caitlyn,MasterYi,Leblanc,Warwick,Thresh,Pantheon,Morgana,Tristana
1,Kayn,Alistar,Jhin,Riven,Syndra,JarvanIV,Gragas,MissFortune,Annie,Nami
0,Blitzcrank,Ashe,Sion,Cassiopeia,Nidalee,Lulu,Vayne,Irelia,LeeSin,Orianna
0,Zyra,KogMaw,Ekko,Fiora,MasterYi,Gragas,RekSai,JarvanIV,Rakan,Tristana
1,Ekko,Rammus,Ornn,Taric,Vayne,Morgana,Jhin,Teemo,Amumu,Riven
1,Xayah,Alistar,Renekton,Talon,Khazix,Shaco,Bard,Viktor,Lucian,Kayle
1,Bard,Quinn,Twitch,LeeSin,Katarina,Thresh,Gangplank,Lux,Tristana,Vi
0,Vayne,Sivir,Bard,Veigar,MasterYi,Garen,Ashe,Udyr,Ahri,Karma
0,Ziggs,Olaf,Ornn,Braum,Vayne,Kayn,Taliyah,Twitch,Sejuani,Shen
0,Garen,Vayne,Taliyah,Lulu,JarvanIV,Kayn,Sion,Brand,Singed,Jinx
1,Fizz,LeeSin,Leona,Heimerdinger,Varus,Ekko,Kayle,Caitlyn,Ivern,Kennen
0,Ornn,DrMundo,Lucian,Blitzcrank,Corki,Zed,Jinx,Chogath,Morgana,Graves
1,Janna,Darius,Lulu,Kayn,Sivir,Lucian,Gragas,Orianna,Fiora,Alistar
1,Malphite,Jhin,Zed,Blitzcrank,Kled,Darius,Vladimir,Nautilus,Kayn,Xayah
0,Taliyah,Twitch,Galio,Nautilus,Gragas,Cassiopeia,JarvanIV,Illaoi,Ezreal,Zyra
0,Galio,Braum,Xayah,Udyr,Ornn,Tristana,Sona,Chogath,Ezreal,Urgot
0,Varus,Rengar,Jax,Rakan,Ashe,Talon,Diana,DrMundo,TahmKench,Jhin
0,Ashe,Rakan,MasterYi,Olaf,Veigar,Morgana,Illaoi,Amumu,Ziggs,MissFortune
0,Rakan,Zed,JarvanIV,Shen,Caitlyn,Leona,Tristana,Gangplank,Ekko,Rammus
1,Yasuo,Nocturne,Illaoi,Zilean,Twitch,Viktor,Bard,Tristana,Malphite,XinZhao
0,Ryze,Fiddlesticks,Garen,Kayn,Caitlyn,Jhin,Ornn,Braum,Viktor,Elise
1,Draven,TwistedFate,Sona,Graves,Yorick,Warwick,Riven,Alistar,Ziggs,Twitch
1,LeeSin,Lissandra,MissFortune,Tryndamere,Soraka,Garen,Tristana,Kayn,Karma,Katarina
0,Yasuo,Lux,Sivir,Kayle,Rumble,Morgana,Corki,Malzahar,Chogath,MonkeyKing
0,Sona,KogMaw,Gragas,Jax,Ekko,Tristana,Lulu,Khazix,Annie,Lux
1,Twitch,Shyvana,Leona,Veigar,Chogath,Caitlyn,MasterYi,Anivia,Sona,Renekton
0,Trundle,Tristana,Sejuani,Bard,Zed,Blitzcrank,Khazix,Malzahar,Ashe,Yasuo
0,Darius,Fizz,LeeSin,Thresh,Jinx,Kayn,Leona,Ziggs,Lucian,Tryndamere
1,Janna,Caitlyn,Lux,Warwick,Sejuani,Diana,Jax,KogMaw,Lulu,Yasuo
0,Malphite,Jinx,Azir,Thresh,Kayn,LeeSin,Brand,Tristana,Bard,Zed
1,Riven,Jhin,Sejuani,Viktor,Ornn,Anivia,Chogath,Janna,Yasuo,Sivir
1,Twitch,Akali,Janna,Kayn,Tryndamere,Renekton,Chogath,Fizz,Jinx,Soraka
1,Kayn,Thresh,Lucian,LeeSin,Jinx,Kennen,Leona,Velkoz,Rengar,MissFortune
1,Rakan,Kayle,Chogath,Draven,DrMundo,Malzahar,Ivern,Shen,Tristana,Braum
0,Vladimir,Caitlyn,Sivir,Rakan,JarvanIV,Vayne,Darius,Udyr,TwistedFate,Gangplank
1,Lux,Nautilus,Rengar,Kalista,Sejuani,Heimerdinger,JarvanIV,Soraka,Ashe,Corki
1,Karma,Renekton,Lux,Vayne,Rengar,Ashe,Trundle,Velkoz,Fiora,Malzahar
1,Kassadin,Draven,Janna,Khazix,Yorick,Karma,MasterYi,Jhin,Gnar,Zed
0,Ahri,Ezreal,Nautilus,Fiddlesticks,XinZhao,JarvanIV,Tristana,Renekton,Malzahar,Sona
1,Gragas,Blitzcrank,Ashe,Zed,Swain,Illaoi,Janna,Orianna,MissFortune,Shaco
1,Gnar,Bard,Kayn,Twitch,Janna,Fizz,Tristana,Nasus,Sona,Amumu
0,Riven,Ornn,Soraka,Twitch,Yasuo,Ekko,Maokai,Teemo,Tryndamere,Sion
1,Jax,Kassadin,Sona,Warwick,Vayne,Varus,Bard,Singed,Amumu,Ahri
1,Riven,Kayle,Twitch,Morgana,Warwick,MonkeyKing,Vayne,Leona,Malzahar,Kayn
1,LeeSin,Vayne,Sona,Gragas,Yasuo,Orianna,Nasus,Janna,Vi,Ashe
0,LeeSin,Vayne,Xayah,Zed,Teemo,Rammus,Lucian,Rakan,Yasuo,Riven
0,Blitzcrank,Orianna,Ashe,Renekton,Graves,Vayne,Maokai,Galio,Teemo,Nami
1,Draven,Karma,MasterYi,Ekko,Camille,Evelynn,Ornn,Yasuo,Lux,Twitch
0,Vi,Zed,Jinx,Nami,Volibear,Renekton,Warwick,MissFortune,Thresh,Cassiopeia
1,Aatrox,Annie,Soraka,Heimerdinger,Xayah,Nasus,Yasuo,Teemo,Janna,Twitch
0,Varus,JarvanIV,Janna,Katarina,LeeSin,Vi,Jhin,Sion,Malzahar,Brand
1,Rammus,Rakan,Ahri,Xayah,Jhin,Twitch,Talon,Soraka,Diana,Rengar
0,RekSai,Twitch,Taric,AurelionSol,Chogath,KogMaw,Camille,JarvanIV,Taliyah,Nami
1,Malzahar,Thresh,Vayne,LeeSin,Chogath,Kennen,Lulu,Tristana,Ahri,Zac
0,Thresh,Kalista,LeeSin,Teemo,Urgot,Ezreal,Hecarim,Syndra,Draven,TahmKench
0,Gragas,Ezreal,Braum,Azir,Ornn,Varus,TahmKench,Kalista,Thresh,Teemo
0,Shaco,Fizz,Ornn,Brand,Jinx,Zac,Soraka,Lulu,Tristana,Syndra
1,Maokai,Sona,Lucian,Ekko,Kayn,Gragas,Twitch,Soraka,Fizz,Irelia
1,Janna,Lux,Caitlyn,Darius,LeeSin,Karma,Gragas,Kassadin,KogMaw,Fiora
1,Tristana,Sona,Cassiopeia,Khazix,Yorick,Ashe,Thresh,Fizz,Urgot,Katarina
1,Khazix,Yasuo,Jinx,Akali,Galio,Garen,Orianna,Leona,Lucian,Irelia
1,Annie,Leona,Singed,MissFortune,Chogath,Lux,Jhin,Renekton,MasterYi,Thresh
0,Kayn,Riven,Blitzcrank,Jhin,Talon,Rakan,Diana,Tryndamere,Jinx,Nautilus
1,Jinx,Volibear,Zed,Janna,MasterYi,MonkeyKing,Twitch,Veigar,Kayn,Lucian
0,Warwick,Garen,Malphite,Caitlyn,Cassiopeia,Jinx,Morgana,Volibear,Irelia,Katarina
0,Thresh,Urgot,Tristana,Trundle,Vladimir,Volibear,Swain,KogMaw,Morgana,Zyra
1,Rakan,Gangplank,Ornn,LeeSin,Ezreal,Graves,Lux,Caitlyn,Shen,Zyra
0,Veigar,MasterYi,Jax,Jhin,Blitzcrank,Varus,Kayle,Nidalee,XinZhao,Rengar
0,Ziggs,Thresh,Jax,Irelia,MissFortune,Shyvana,Syndra,Jhin,Yasuo,Morgana
1,MonkeyKing,Ekko,Kayn,KogMaw,Rakan,Gragas,Tristana,Thresh,Jax,Katarina
0,Fizz,Ivern,Riven,Thresh,Jhin,MasterYi,Sivir,Darius,Brand,Rakan
1,Rammus,Katarina,Irelia,Jhin,Blitzcrank,Ezreal,Soraka,Velkoz,Nautilus,Warwick
1,Sona,Jinx,Rumble,Katarina,Sejuani,Kled,Ornn,Kalista,Karma,Kassadin
1,Fiddlesticks,Yasuo,Xayah,Jinx,Nocturne,Garen,Kayn,Veigar,Sivir,Soraka
1,MasterYi,Rengar,Diana,Teemo,Morgana,Khazix,Vayne,Anivia,Gragas,Urgot
1,Pantheon,Orianna,LeeSin,Blitzcrank,Draven,Elise,Syndra,Sona,Lucian,Riven
0,Nautilus,Malphite,Jinx,Diana,Malzahar,Cassiopeia,Sivir,Riven,Braum,Rammus
1,Hecarim,Singed,Trundle,Sivir,Kassadin,Varus,Janna,Zed,Pantheon,Nidalee
0,Ornn,MissFortune,Blitzcrank,Elise,Lucian,Janna,RekSai,KogMaw,Talon,Anivia
0,Ahri,Xayah,Taric,Singed,Trundle,Kayn,Vi,Darius,Rakan,Draven
1,Annie,Thresh,Lucian,JarvanIV,Garen,Gragas,Teemo,Lulu,TwistedFate,Draven
0,Thresh,Olaf,XinZhao,Lucian,Cassiopeia,Vayne,Malzahar,JarvanIV,Riven,Morgana
1,Gragas,Tristana,Thresh,Diana,Pantheon,Ekko,Katarina,LeeSin,Lulu,MissFortune
1,Xerath,Karthus,Xayah,Thresh,Maokai,MasterYi,KogMaw,Soraka,Kled,Lissandra
1,Brand,Janna,Jhin,JarvanIV,Akali,MonkeyKing,Xayah,Fiora,Rakan,Fiddlesticks
0,Thresh,LeeSin,Gangplank,Velkoz,Jhin,Ziggs,Taliyah,Darius,Brand,Jayce
0,Tristana,Kayn,Kayle,Morgana,TwistedFate,Syndra,Pantheon,Bard,Illaoi,Ashe
0,Zed,Singed,Zilean,Rammus,Twitch,Braum,MissFortune,Warwick,Galio,Lux
0,Jax,Sion,Xayah,Rakan,Ahri,Kalista,Katarina,Nami,Pantheon,Nunu
1,Bard,Fiora,Zed,JarvanIV,Lucian,Katarina,Tryndamere,XinZhao,Blitzcrank,Tristana
1,Nautilus,Gangplank,LeeSin,Malzahar,Twitch,JarvanIV,Yasuo,Caitlyn,Jinx,Thresh
0,Rammus,DrMundo,Sivir,Sona,Velkoz,Zyra,Kled,Veigar,Mordekaiser,Kalista
1,MasterYi,Jax,Jhin,Lux,Alistar,Leblanc,Rammus,Malphite,Janna,Ashe
0,Thresh,Kled,Xerath,Kindred,Jhin,Jinx,Urgot,Zed,Rumble,Soraka
0,Lucian,Nami,Akali,Nasus,MasterYi,Blitzcrank,Xayah,Jax,Warwick,Ekko
0,Gnar,Thresh,Galio,Xayah,Rengar,Kayle,TwistedFate,Rakan,Ashe,Kayn
0,TwistedFate,Jhin,Janna,LeeSin,Jax,Ekko,Riven,Kayn,Twitch,Thresh
0,Sejuani,Nami,MissFortune,Riven,Nidalee,Jayce,Renekton,Khazix,Bard,Lucian
1,Lux,Talon,Rammus,Twitch,Taliyah,MissFortune,Leblanc,Rengar,Gnar,Sona
1,Jinx,Tryndamere,JarvanIV,Heimerdinger,Soraka,Lulu,Lucian,Akali,Ezreal,Gragas
0,Karma,Riven,Ahri,Gragas,Tristana,Tryndamere,Warwick,Alistar,Jinx,Orianna
0,Soraka,Leblanc,Jhin,Ziggs,Hecarim,Rakan,Darius,Kayn,Tristana,Malzahar
1,Kayn,Ziggs,Tristana,Rakan,Gnar,Twitch,Singed,Sona,MasterYi,Lucian
1,Sejuani,Zilean,Renekton,Ekko,Tristana,Viktor,Thresh,Jhin,Kayn,TahmKench
0,Nami,Chogath,Twitch,Fizz,Yasuo,KogMaw,Pantheon,Corki,Sejuani,Bard
1,Gnar,Talon,Jinx,Thresh,Hecarim,Xayah,Maokai,Trundle,Aatrox,Nasus
1,Alistar,AurelionSol,Caitlyn,Gragas,Nasus,Zyra,Twitch,Camille,Nocturne,Orianna
0,Velkoz,Evelynn,Vayne,Gnar,Orianna,Camille,Varus,Kayn,Kassadin,Nidalee
1,Gnar,Leblanc,Xayah,Blitzcrank,Kayn,Rakan,Hecarim,Kalista,Ahri,Yorick
0,XinZhao,Twitch,Bard,Tristana,Ahri,Warwick,Jinx,Nami,Akali,Annie
1,Gragas,Garen,Corki,Lux,Lucian,Riven,Soraka,Orianna,Jinx,XinZhao
0,Thresh,Shen,Kassadin,Caitlyn,Warwick,Corki,Khazix,Chogath,Blitzcrank,Tristana
0,Ahri,Riven,Vayne,Thresh,LeeSin,JarvanIV,Malzahar,Pantheon,Braum,MissFortune
1,Teemo,Pantheon,MasterYi,Lucian,Veigar,Jax,Kalista,Shyvana,Anivia,Fiddlesticks
0,Kled,Morgana,Shen,Tristana,Fizz,Sivir,Leona,Kassadin,Sejuani,Riven
0,Thresh,Volibear,Draven,Diana,Sejuani,Taric,Jinx,Katarina,Poppy,LeeSin
